idx,ts_system,world_frame,base_frame,x,y,z,qx,qy,qz,qw,yaw_rad,basename,original_timestamp
34,34.000000000,map3d,camera,-0.298916101,-0.007933971,0.637475491,0.002990254796,-0.181966484237,-0.000060966376,0.983300184722,-0.001293830236,000034,24.013983267
35,35.000000000,map3d,camera,-0.296380222,-0.001082774,0.635405064,0.002614056770,-0.182918024684,-0.000507549431,0.983124562477,-0.002094438713,000035,24.720276892
36,36.000000000,map3d,camera,-0.304420978,-0.002135915,0.635987759,0.002246363179,-0.180092451829,-0.000606969957,0.983646935762,-0.002142146627,000036,25.426570518
37,37.000000000,map3d,camera,-0.306359947,-0.002151064,0.639865756,0.001561440020,-0.142541177213,-0.000692562180,0.989787398920,-0.001893042926,000037,26.132864143
38,38.000000000,map3d,camera,-0.304420978,-0.003272041,0.639865756,0.001266918279,-0.143134479795,-0.000656680217,0.989702220056,-0.001733546959,000038,26.839157769
39,39.000000000,map3d,camera,-0.304420978,-0.013633503,0.635987759,0.000597411438,-0.141272238470,-0.001978352420,0.989968627715,-0.004255686266,000039,27.545451394
40,40.000000000,map3d,camera,-0.315301508,-0.005605098,0.641931236,0.001402636243,-0.066723655871,-0.001364783059,0.997769574464,-0.002936808245,000040,28.251745020
41,41.000000000,map3d,camera,-0.313413471,-0.005103589,0.645707309,0.001580684319,-0.067493477605,-0.001161412024,0.997717787272,-0.002554166363,000041,28.958038645
42,42.000000000,map3d,camera,-0.317189544,-0.009794171,0.645707309,0.000960535656,-0.028345812743,-0.001428440622,0.999596694587,-0.002914871139,000042,29.664332271
43,43.000000000,map3d,camera,-0.315301508,-0.006136107,0.649483323,0.001472591456,-0.029995692162,-0.001414016324,0.999547943064,-0.002920355537,000043,30.370625896
44,44.000000000,map3d,camera,-0.327515125,-0.013393029,0.647544146,0.000497911583,-0.020152604583,-0.003286073563,0.999791391408,-0.006596249252,000044,31.076919522
45,45.000000000,map3d,camera,-0.344358742,-0.008948181,0.670002341,0.001461983900,0.067761891961,-0.000664667192,0.997700228936,-0.001138600311,000045,31.783213147
46,46.000000000,map3d,camera,-0.355669379,-0.009997032,0.670104980,0.001759733037,0.067871030778,-0.000897432451,0.997692147476,-0.001566284185,000046,32.489506773
47,47.000000000,map3d,camera,-0.349973291,-0.007222878,0.673745394,0.001898007171,0.114693598392,-0.000979617930,0.993398619088,-0.001551750808,000047,33.195800398
48,48.000000000,map3d,camera,-0.357054919,-0.013889343,0.684355259,0.000831226055,0.116604928444,-0.001053170180,0.993177471834,-0.001951180882,000048,33.902094024
49,49.000000000,map3d,camera,-0.362633914,-0.012262140,0.695513248,0.001630806826,0.158271753548,-0.000903562629,0.987393830279,-0.001335008217,000049,34.608387649
50,50.000000000,map3d,camera,-0.362633914,-0.013017627,0.695513248,0.001672474377,0.157837987767,-0.000896290785,0.987463198864,-0.001307286140,000050,35.314681275
51,51.000000000,map3d,camera,-0.362633914,-0.012901398,0.691793919,0.001860451722,0.158393114956,-0.001059011374,0.987373808823,-0.001581259469,000051,36.020974900
52,52.000000000,map3d,camera,-0.243839532,-0.009023014,1.000346541,0.005524673640,0.044901012875,-0.003560736830,0.998969818452,-0.006644874936,000052,36.727268526
53,53.000000000,map3d,camera,-0.202467874,-0.017926842,1.019838214,0.004568791782,0.042779921174,-0.003352115080,0.999068450013,-0.006330308214,000053,37.433562151
54,54.000000000,map3d,camera,-0.303422183,-0.004343986,1.091987371,0.005142667099,0.274870930483,-0.006972370799,0.961442099451,-0.012463996529,000054,38.139855777
55,55.000000000,map3d,camera,-0.187470257,-0.007850316,1.094826221,0.007981627545,0.366907436484,-0.002900910604,0.930218690090,0.000629599811,000055,38.846149402
56,56.000000000,map3d,camera,-0.243153065,-0.010732147,1.097829342,0.006412665344,0.491073334669,0.007680058040,0.871060775382,0.038000795837,000056,39.552443027
57,57.000000000,map3d,camera,-0.295975626,-0.006485026,1.156270981,0.006955445233,0.500656110216,0.001380846642,0.865617221610,0.018757492030,000057,40.258736653
58,58.000000000,map3d,camera,-0.232375801,-0.010353674,1.091584682,0.006398706155,0.490778854593,0.007888191083,0.871224970306,0.038628971087,000058,40.965030278
59,59.000000000,map3d,camera,-0.234903246,-0.009131859,1.098809958,0.007324082985,0.488234341941,0.007552150243,0.872649156411,0.038846674115,000059,41.671323904
60,60.000000000,map3d,camera,-0.256994426,0.001476097,1.159276605,0.007051208648,0.478761985308,0.004600941574,0.877904364505,0.027378585873,000060,42.377617529
61,61.000000000,map3d,camera,-0.207424387,0.005451117,1.182098150,0.009389860307,0.417713935854,0.007175578477,0.908501738793,0.032070320051,000061,43.083911155
62,62.000000000,map3d,camera,-0.144798398,-0.009874272,1.223662257,0.006329211829,0.298256030125,-0.001534283017,0.954463685819,0.001029843823,000062,43.790204780
63,63.000000000,map3d,camera,-0.121832728,-0.006889841,1.205767035,0.006747290923,0.294502050422,0.000904158713,0.955626600121,0.006898878680,000063,44.496498406
64,64.000000000,map3d,camera,-0.088401243,-0.007616288,1.235601902,0.006652037270,0.267953920769,0.002367569694,0.963405854953,0.009489244726,000064,45.202792031
65,65.000000000,map3d,camera,-0.057661377,-0.011804292,1.261025906,0.007829379861,0.120030832679,-0.002775037534,0.992735412476,-0.003737971669,000065,45.909085657
66,66.000000000,map3d,camera,-0.041595683,-0.010513903,1.261475325,0.006552913090,0.117430174687,-0.003131937008,0.993054582777,-0.004814181254,000066,46.615379282
67,67.000000000,map3d,camera,-0.043523684,-0.009957395,1.264470100,0.006568793191,0.117767140906,-0.003545829349,0.993013181470,-0.005651788627,000067,47.321672908
68,68.000000000,map3d,camera,-0.041122451,-0.011969665,1.321765661,0.007618381976,0.016822081256,-0.001156643704,0.999828805353,-0.002057744518,000068,48.027966533
69,69.000000000,map3d,camera,-0.016147681,-0.021569706,1.387744069,0.006877680491,-0.008933958715,-0.003991043752,0.999928474173,-0.008105781068,000069,48.734260159
70,70.000000000,map3d,camera,-0.047529355,-0.016093727,1.364623308,0.006388742375,0.029580020041,-0.011206825734,0.999479171090,-0.022064599689,000070,49.440553784
71,71.000000000,map3d,camera,-0.047926776,-0.021463912,1.539981604,0.005657958997,0.193272489095,-0.002270241632,0.981126178665,-0.002450851547,000071,50.146847410
72,72.000000000,map3d,camera,-0.030060142,-0.017763559,1.556766272,0.005421074564,0.236771012021,-0.003141234899,0.971545280705,-0.003983264907,000072,50.853141035
73,73.000000000,map3d,camera,0.049700826,-0.026360553,1.733754992,0.004013572726,0.134280873688,-0.003415969753,0.990929295836,-0.005905102526,000073,51.559434661
74,74.000000000,map3d,camera,0.060989976,-0.021386098,1.720758915,0.003871795383,0.133912301483,-0.004450739856,0.990975628170,-0.008073908933,000074,52.265728286
75,75.000000000,map3d,camera,0.060993284,-0.020979173,1.720763206,0.003737081006,0.134009238901,-0.005068356382,0.990960074815,-0.009380610493,000075,52.972021912
76,76.000000000,map3d,camera,0.055825233,-0.018911291,1.738605142,0.003518309302,0.178297936150,-0.004836020333,0.983958373292,-0.008823467928,000076,53.678315537
77,77.000000000,map3d,camera,0.057335258,-0.020053130,1.738456130,0.003536025600,0.178351577130,-0.004728375298,0.983949111451,-0.008590341353,000077,54.384609163
