idx,stamp,x,y,yaw_rad
91,1781699091528.0,0.631454,-0.049081,-0.03986916400000018
92,1781699091595.0,0.634978,-0.049225,-0.0392211360000001
93,1781699091655.0,0.65732,-0.050209,-0.05231491300000002
94,1781699091730.0,0.65732,-0.050209,-0.05231491300000002
95,1781699091796.0,0.67238,-0.051045,-0.05949099999999996
96,1781699091861.0,0.69324,-0.052338,-0.06421351100000017
97,1781699091933.0,0.69324,-0.052338,-0.06421351100000017
98,1781699091991.0,0.731443,-0.073017,-0.048620807999999904
99,1781699092065.0,0.753102,-0.074638,-0.04586895799999979
100,1781699092126.0,0.753102,-0.074638,-0.04586895799999979
101,1781699092193.0,0.758751,-0.074894,-0.04463534299999994
102,1781699092262.0,0.758751,-0.074894,-0.04463534299999994
103,1781699092334.0,0.790621,-0.072774,-0.028039882999999932
104,1781699092401.0,0.835225,-0.071597,-0.019129364999999954
105,1781699092467.0,0.855446,-0.071905,-0.011380549000000073
106,1781699092529.0,0.855446,-0.071905,-0.011380549000000073
107,1781699092596.0,0.860304,-0.071956,-0.009620766999999919
108,1781699092662.0,0.860304,-0.071956,-0.009620766999999919
109,1781699092731.0,0.896331,-0.070879,0.005091097000000211
110,1781699092796.0,0.914362,-0.070723,0.012128134000000124
111,1781699092864.0,0.914362,-0.070723,0.012128134000000124
112,1781699092931.0,0.93901,-0.069063,-0.026092542999999857
113,1781699092998.0,0.960612,-0.069525,-0.01763736299999996
114,1781699093101.0,0.964631,-0.069591,-0.01596359699999983
115,1781699093205.0,1.000197,-0.069059,0.03407586400000007
116,1781699093303.0,1.020491,-0.068287,0.04261719000000008
117,1781699093426.0,1.035072,-0.06778,0.019007291999999953
118,1781699093482.0,1.035072,-0.06778,0.019007291999999953
119,1781699093546.0,1.058287,-0.067218,0.029803692000000215
120,1781699093637.0,1.061186,-0.067127,0.031070891999999795
121,1781699093743.0,1.100794,-0.068363,0.0424715830000002
122,1781699093839.0,1.114036,-0.067765,0.0481351000000001
123,1781699093946.0,1.14208,-0.072958,0.046482323000000214
124,1781699094012.0,1.14208,-0.072958,0.046482323000000214
125,1781699094084.0,1.165848,-0.07175,0.052928641999999915
126,1781699094142.0,1.165848,-0.07175,0.052928641999999915
127,1781699094208.0,1.180026,-0.065568,0.08050883099999995
128,1781699094279.0,1.188202,-0.061982,0.09272202100000015
129,1781699094343.0,1.188202,-0.061982,0.09272202100000015
130,1781699094410.0,1.193689,-0.061474,0.09148729099999997
131,1781699094478.0,1.198223,-0.061053,0.0909228569999998
